pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result
380642294,lra/chc-lra-0002.smt2,7589636,PECOS-v1.10,20409,lra.sh,303281,timeout (cpu),900.08,901.112,319388.0,starexec-unknown
380642295,lra/chc-lra-0002.smt2,7589636,Eldarica 2.0alpha 12GB,20382,def,303234,timeout (cpu),900.13,412.853,1.8402148E7,starexec-unknown
380642296,lra/chc-lra-0002.smt2,7589636,hoice v1.5.0,20413,hoice_default,303297,timeout (cpu),900.07,898.743,274936.0,starexec-unknown
380642297,lra/chc-lra-0002.smt2,7589636,Ultimate TreeAutomizer  2018 07 06 11 04,20427,default,303312,timeout (cpu),900.08,820.924,5.9472896E7,starexec-unknown
380642298,lra/chc-lra-0002.smt2,7589636,Ultimate Unihorn Automizer  2018 07 06 10 41,20426,default,303311,timeout (cpu),900.03,764.4,5.9843072E7,starexec-unknown
380642299,lra/chc-lra-0002.smt2,7589636,rebus v1.5,20525,def,303851,complete,2.56198,2.56122,155344.0,sat
380642300,lra/chc-lra-0002.smt2,7589636,spacer,19768,def,300997,complete,9.99337,9.99346,183588.0,sat
380642301,lra/chc-lra-0002.smt2,7589636,TransfHORNer,20513,default,303835,timeout (cpu),900.03,900.535,2.0671736E7,starexec-unknown
380642014,lra/chc-lra-0003.smt2,7589601,PECOS-v1.10,20409,lra.sh,303281,timeout (cpu),900.07,900.149,333136.0,starexec-unknown
380642015,lra/chc-lra-0003.smt2,7589601,Eldarica 2.0alpha 12GB,20382,def,303234,complete,1.99128,1.10514,1.5711576E7,starexec-unknown
380642016,lra/chc-lra-0003.smt2,7589601,hoice v1.5.0,20413,hoice_default,303297,timeout (cpu),900.01,898.736,285636.0,starexec-unknown
380642017,lra/chc-lra-0003.smt2,7589601,Ultimate TreeAutomizer  2018 07 06 11 04,20427,default,303312,timeout (cpu),900.01,849.858,5.9470372E7,starexec-unknown
380642018,lra/chc-lra-0003.smt2,7589601,Ultimate Unihorn Automizer  2018 07 06 10 41,20426,default,303311,complete,8.7133,3.77439,5.9743004E7,starexec-unknown
380642019,lra/chc-lra-0003.smt2,7589601,rebus v1.5,20525,def,303851,timeout (cpu),900.03,900.195,327208.0,starexec-unknown
380642020,lra/chc-lra-0003.smt2,7589601,spacer,19768,def,300997,timeout (cpu),900.07,900.206,775204.0,starexec-unknown
380642021,lra/chc-lra-0003.smt2,7589601,TransfHORNer,20513,default,303835,complete,1.10707,1.1924,753740.0,unsat
380642510,lra/chc-lra-0004.smt2,7589663,PECOS-v1.10,20409,lra.sh,303281,timeout (cpu),900.06,900.432,417616.0,starexec-unknown
380642511,lra/chc-lra-0004.smt2,7589663,Eldarica 2.0alpha 12GB,20382,def,303234,timeout (cpu),900.02,464.395,1.72225E7,starexec-unknown
380642512,lra/chc-lra-0004.smt2,7589663,hoice v1.5.0,20413,hoice_default,303297,timeout (cpu),900.03,898.876,274384.0,starexec-unknown
380642513,lra/chc-lra-0004.smt2,7589663,Ultimate TreeAutomizer  2018 07 06 11 04,20427,default,303312,timeout (cpu),900.03,831.618,5.9470732E7,starexec-unknown
380642514,lra/chc-lra-0004.smt2,7589663,Ultimate Unihorn Automizer  2018 07 06 10 41,20426,default,303311,timeout (cpu),900.04,279.063,5.98431E7,starexec-unknown
380642515,lra/chc-lra-0004.smt2,7589663,rebus v1.5,20525,def,303851,complete,366.96,367.09,667244.0,sat
