pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result
380644876,lia/chc-lia-0004.smt2,7590022,spacer,19768,def,300997,complete,69.602,69.6077,400180.0,sat
380644877,lia/chc-lia-0004.smt2,7590022,TransfHORNer,20513,default,303835,complete,300.509,300.938,965904.0,sat
380645046,lia/chc-lia-0005.smt2,7590054,PECOS-v1.10,20409,lia.sh,303282,complete,1.38126,1.4005,159056.0,sat
380645047,lia/chc-lia-0005.smt2,7590054,Eldarica 2.0alpha 12GB,20382,def,303234,complete,4.22055,1.99364,1.610634E7,sat
380645048,lia/chc-lia-0005.smt2,7590054,hoice v1.5.0,20413,hoice_default,303297,complete,16.33,16.1247,269608.0,sat
380645049,lia/chc-lia-0005.smt2,7590054,Ultimate TreeAutomizer  2018 07 06 11 04,20427,default,303312,timeout (cpu),900.01,860.119,5.947084E7,starexec-unknown
380645050,lia/chc-lia-0005.smt2,7590054,Ultimate Unihorn Automizer  2018 07 06 10 41,20426,default,303311,timeout (cpu),900.03,550.918,6.0251964E7,starexec-unknown
380645051,lia/chc-lia-0005.smt2,7590054,rebus v1.5,20525,def,303851,timeout (cpu),900.0,900.101,515360.0,starexec-unknown
380645052,lia/chc-lia-0005.smt2,7590054,spacer,19768,def,300997,timeout (cpu),900.06,900.106,510528.0,starexec-unknown
380645053,lia/chc-lia-0005.smt2,7590054,TransfHORNer,20513,default,303835,complete,300.491,300.93,970868.0,sat
380642822,lia/chc-lia-0006.smt2,7589708,PECOS-v1.10,20409,lia.sh,303282,complete,0.825785,0.845621,132232.0,sat
380642823,lia/chc-lia-0006.smt2,7589708,Eldarica 2.0alpha 12GB,20382,def,303234,timeout (cpu),900.08,432.18,1.7093884E7,starexec-unknown
380642824,lia/chc-lia-0006.smt2,7589708,hoice v1.5.0,20413,hoice_default,303297,complete,0.055482,0.070887,113132.0,sat
380642825,lia/chc-lia-0006.smt2,7589708,Ultimate TreeAutomizer  2018 07 06 11 04,20427,default,303312,timeout (cpu),900.07,839.618,5.9468324E7,starexec-unknown
380642826,lia/chc-lia-0006.smt2,7589708,Ultimate Unihorn Automizer  2018 07 06 10 41,20426,default,303311,timeout (cpu),900.09,883.147,6.147698E7,starexec-unknown
380642827,lia/chc-lia-0006.smt2,7589708,rebus v1.5,20525,def,303851,complete,0.926797,0.926058,155344.0,sat
380642828,lia/chc-lia-0006.smt2,7589708,spacer,19768,def,300997,timeout (cpu),900.06,900.106,210036.0,starexec-unknown
380642829,lia/chc-lia-0006.smt2,7589708,TransfHORNer,20513,default,303835,complete,250.481,250.535,739108.0,sat
380643038,lia/chc-lia-0007.smt2,7589737,PECOS-v1.10,20409,lia.sh,303282,complete,0.863142,0.862844,135584.0,sat
380643039,lia/chc-lia-0007.smt2,7589737,Eldarica 2.0alpha 12GB,20382,def,303234,timeout (cpu),900.12,419.122,2.7660752E7,starexec-unknown
380643040,lia/chc-lia-0007.smt2,7589737,hoice v1.5.0,20413,hoice_default,303297,complete,1.24,1.26627,268680.0,sat
380643041,lia/chc-lia-0007.smt2,7589737,Ultimate TreeAutomizer  2018 07 06 11 04,20427,default,303312,timeout (cpu),900.07,863.049,5.9470372E7,starexec-unknown
380643042,lia/chc-lia-0007.smt2,7589737,Ultimate Unihorn Automizer  2018 07 06 10 41,20426,default,303311,timeout (cpu),900.04,540.322,6.0280816E7,starexec-unknown
380643043,lia/chc-lia-0007.smt2,7589737,rebus v1.5,20525,def,303851,timeout (cpu),900.05,900.399,1229112.0,starexec-unknown
380643044,lia/chc-lia-0007.smt2,7589737,spacer,19768,def,300997,timeout (cpu),900.06,900.217,455768.0,starexec-unknown
380643045,lia/chc-lia-0007.smt2,7589737,TransfHORNer,20513,default,303835,timeout (cpu),900.03,901.028,1270668.0,starexec-unknown
380644662,lia/chc-lia-0008.smt2,7589991,PECOS-v1.10,20409,lia.sh,303282,complete,0.840756,0.841202,137864.0,sat
380644663,lia/chc-lia-0008.smt2,7589991,Eldarica 2.0alpha 12GB,20382,def,303234,timeout (cpu),900.04,428.238,1.9647332E7,starexec-unknown
380644664,lia/chc-lia-0008.smt2,7589991,hoice v1.5.0,20413,hoice_default,303297,complete,0.020056,0.0642279,113132.0,sat
380644665,lia/chc-lia-0008.smt2,7589991,Ultimate TreeAutomizer  2018 07 06 11 04,20427,default,303312,timeout (cpu),900.05,848.927,5.9470372E7,starexec-unknown
380644666,lia/chc-lia-0008.smt2,7589991,Ultimate Unihorn Automizer  2018 07 06 10 41,20426,default,303311,timeout (cpu),900.03,547.519,6.0252156E7,starexec-unknown
380644667,lia/chc-lia-0008.smt2,7589991,rebus v1.5,20525,def,303851,complete,0.019648,0.018791,113132.0,sat
380644668,lia/chc-lia-0008.smt2,7589991,spacer,19768,def,300997,timeout (cpu),900.08,900.206,774108.0,starexec-unknown
380644669,lia/chc-lia-0008.smt2,7589991,TransfHORNer,20513,default,303835,complete,301.24,301.472,1104060.0,sat
380645230,lia/chc-lia-0009.smt2,7590082,PECOS-v1.10,20409,lia.sh,303282,timeout (cpu),900.01,905.148,454124.0,starexec-unknown
380645231,lia/chc-lia-0009.smt2,7590082,Eldarica 2.0alpha 12GB,20382,def,303234,complete,3.47599,1.74481,1.6104292E7,sat
380645232,lia/chc-lia-0009.smt2,7590082,hoice v1.5.0,20413,hoice_default,303297,complete,0.063942,0.080522,113132.0,sat
380645233,lia/chc-lia-0009.smt2,7590082,Ultimate TreeAutomizer  2018 07 06 11 04,20427,default,303312,timeout (cpu),900.03,846.46,5.9470372E7,starexec-unknown
380645234,lia/chc-lia-0009.smt2,7590082,Ultimate Unihorn Automizer  2018 07 06 10 41,20426,default,303311,complete,15.4721,7.76559,6.0220268E7,sat
380645235,lia/chc-lia-0009.smt2,7590082,rebus v1.5,20525,def,303851,complete,0.050861,0.0500761,113132.0,sat
380645236,lia/chc-lia-0009.smt2,7590082,spacer,19768,def,300997,timeout (cpu),900.02,900.106,886744.0,starexec-unknown
380645237,lia/chc-lia-0009.smt2,7590082,TransfHORNer,20513,default,303835,timeout (cpu),900.01,900.611,813932.0,starexec-unknown
380642918,lia/chc-lia-0010.smt2,7589720,PECOS-v1.10,20409,lia.sh,303282,complete,0.83028,0.844665,132668.0,sat
380642919,lia/chc-lia-0010.smt2,7589720,Eldarica 2.0alpha 12GB,20382,def,303234,complete,2.56113,1.4716,1.5713624E7,sat
380642920,lia/chc-lia-0010.smt2,7589720,hoice v1.5.0,20413,hoice_default,303297,complete,0.026781,0.075383,113132.0,sat
380642921,lia/chc-lia-0010.smt2,7589720,Ultimate TreeAutomizer  2018 07 06 11 04,20427,default,303312,timeout (cpu),900.07,854.842,5.9468324E7,starexec-unknown
380642922,lia/chc-lia-0010.smt2,7589720,Ultimate Unihorn Automizer  2018 07 06 10 41,20426,default,303311,timeout (cpu),953.52,499.118,6.0332112E7,starexec-unknown
380642923,lia/chc-lia-0010.smt2,7589720,rebus v1.5,20525,def,303851,complete,0.049335,0.0478659,113132.0,sat
380642924,lia/chc-lia-0010.smt2,7589720,spacer,19768,def,300997,timeout (cpu),900.03,900.209,643084.0,starexec-unknown
380642925,lia/chc-lia-0010.smt2,7589720,TransfHORNer,20513,default,303835,complete,550.53,550.882,992192.0,sat
380644774,lia/chc-lia-0012.smt2,7590009,PECOS-v1.10,20409,lia.sh,303282,complete,0.844848,0.844335,137720.0,sat
380644775,lia/chc-lia-0012.smt2,7590009,Eldarica 2.0alpha 12GB,20382,def,303234,timeout (cpu),900.08,434.988,1.6898404E7,starexec-unknown
380644776,lia/chc-lia-0012.smt2,7590009,hoice v1.5.0,20413,hoice_default,303297,complete,1.03,1.03905,268528.0,sat
380644777,lia/chc-lia-0012.smt2,7590009,Ultimate TreeAutomizer  2018 07 06 11 04,20427,default,303312,timeout (cpu),900.05,847.62,5.947038E7,starexec-unknown
380644778,lia/chc-lia-0012.smt2,7590009,Ultimate Unihorn Automizer  2018 07 06 10 41,20426,default,303311,timeout (cpu),900.09,878.933,6.1289132E7,starexec-unknown
380644779,lia/chc-lia-0012.smt2,7590009,rebus v1.5,20525,def,303851,complete,0.157202,0.157173,113132.0,sat
